affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,Affair_status,Category,,,,,,,,
0,male,37,10,no,3,18,7,4,NO,30-39,,0,1 - 9,,7. The most common age in the dataset,,,
0,female,27,4,no,4,14,6,4,NO,20 - 29,,10,10 - 19,,27,,,
0,female,32,15,yes,1,12,1,4,NO,30-39,,20,20 - 29,,,,,
0,male,57,15,yes,5,18,6,5,NO,50-59,,30,30-39,,Row Labels,Count of age,,
0,male,22,0.75,no,2,17,6,3,NO,20 - 29,,40,40-49,,10 - 19,6,,
0,female,32,1.5,no,2,17,5,5,NO,30-39,,50,50-59,,20 - 29,270,,
0,female,22,0.75,no,2,12,1,3,NO,20 - 29,,60,60-69,,30-39,203,,
0,male,57,15,yes,2,14,4,4,NO,50-59,,70,70-79,,40-49,79,,
0,female,32,15,yes,4,16,1,2,NO,30-39,,80,80-89,,50-59,43,,
0,male,22,1.5,no,4,14,4,5,NO,20 - 29,,90,90-99,,Grand Total,601,,
0,male,37,15,yes,2,20,7,2,NO,30-39,,100,100-109,,,,,
0,male,27,4,yes,4,18,6,4,NO,20 - 29,,,,,We can also visualize the table as below,,,
0,male,47,15,yes,5,17,6,4,NO,40-49,,,,,,,,
0,female,22,1.5,no,2,17,5,4,NO,20 - 29,,,,,,,,
0,female,27,4,no,4,14,5,4,NO,20 - 29,,,,,,,,
0,female,37,15,yes,1,17,5,5,NO,30-39,,,,,,,,
0,female,37,15,yes,2,18,4,3,NO,30-39,,,,,,,,
0,female,22,0.75,no,3,16,5,4,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,2,16,5,5,NO,20 - 29,,,,,,,,
0,female,27,10,yes,2,14,1,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,2,16,5,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,2,16,5,5,NO,20 - 29,,,,,,,,
0,female,27,10,yes,4,16,5,4,NO,20 - 29,,,,,,,,
0,female,32,10,yes,3,14,1,5,NO,30-39,,,,,,,,
0,male,37,4,yes,2,20,6,4,NO,30-39,,,,,,,,
0,female,22,1.5,no,2,18,5,5,NO,20 - 29,,,,,,,,
0,female,27,7,no,4,16,1,5,NO,20 - 29,,,,,,,,
0,male,42,15,yes,5,20,6,4,NO,40-49,,,,,,,,
0,male,27,4,yes,3,16,5,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,3,17,5,4,NO,20 - 29,,Category,gender,Count of Category,Sum of age,,,
0,male,42,15,yes,4,20,6,3,NO,40-49,,10 - 19,female,5,87.5,,,
0,female,22,1.5,no,3,16,5,5,NO,20 - 29,,10 - 19,male,1,17.5,,,
0,male,27,0.417,no,4,17,6,4,NO,20 - 29,,20 - 29,female,163,4001,,,
0,female,42,15,yes,5,14,5,4,NO,40-49,,20 - 29,male,107,2704,,,
0,male,32,4,yes,1,18,6,4,NO,30-39,,30-39,female,94,3168,,,
0,female,22,1.5,no,4,16,5,3,NO,20 - 29,,30-39,male,109,3768,,,
0,female,42,15,yes,3,12,1,4,NO,40-49,,40-49,female,39,1693,,,
0,female,22,4,no,4,17,5,5,NO,20 - 29,,40-49,male,40,1740,,,
0,male,22,1.5,yes,1,14,3,5,NO,20 - 29,,50-59,female,14,753,,,
0,female,22,0.75,no,3,16,1,5,NO,20 - 29,,50-59,male,29,1593,,,
0,male,32,10,yes,5,20,6,5,NO,30-39,,,,,,,,
0,male,52,15,yes,5,18,6,3,NO,50-59,,Are male more involved in extra marital affirs than female? By what percentage?,,,,,,
0,female,22,0.417,no,5,14,1,4,NO,20 - 29,,,,,,,,
0,female,27,4,yes,2,18,6,1,NO,20 - 29,,,,,,,,
0,female,32,7,yes,5,17,5,3,NO,30-39,,,,,,,,
0,male,22,4,no,3,16,5,5,NO,20 - 29,,,Column Labels,,,,,
0,female,27,7,yes,4,18,6,5,NO,20 - 29,,,NO,,YES,,Total Count of Affair_status,Total Sum of affairs
0,female,42,15,yes,2,18,5,4,NO,40-49,,Row Labels,Count of Affair_status,Sum of affairs,Count of Affair_status,Sum of affairs,,
0,male,27,1.5,yes,4,16,3,5,NO,20 - 29,,female,243,0,72,447,315,447
0,male,42,15,yes,2,20,6,4,NO,40-49,,male,208,0,78,428,286,428
0,female,22,0.75,no,5,14,3,5,NO,20 - 29,,Grand Total,451,0,150,875,601,875
0,male,32,7,yes,2,20,6,4,NO,30-39,,,,,,,,
0,male,27,4,yes,5,20,6,5,NO,20 - 29,,How many Children or non-children are present? Doe having more children result in more extra marital affiars? ,,,,,,
0,male,27,10,yes,4,20,6,4,NO,20 - 29,,Yes.Having no children results in high extra marital affairs.  By 75.04 percent ,,,,,,
0,male,22,4,no,1,18,5,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,4,14,3,1,NO,30-39,,,,,,,,
0,male,22,1.5,yes,5,16,4,4,NO,20 - 29,,Row Labels,Count of children,Count of affairs,,,,
0,female,37,15,yes,4,17,1,5,NO,30-39,,NO,75.04%,451,,,,
0,female,27,0.75,no,4,17,5,4,NO,20 - 29,,YES,24.96%,150,,,,
0,male,32,10,yes,4,20,6,4,NO,30-39,,Grand Total,100.00%,601,,,,
0,female,47,15,yes,5,14,7,2,NO,40-49,,,,,,,,
0,male,37,10,yes,3,20,6,4,NO,30-39,,,,,,,,
0,female,22,0.75,no,2,16,5,5,NO,20 - 29,,Religion and extra marital affiars  ,,,,,,
0,male,27,4,no,2,18,4,5,NO,20 - 29,,,,,,,,
0,male,32,7,no,4,20,6,4,NO,30-39,,,,,,,,
0,male,42,15,yes,2,17,3,5,NO,40-49,,Row Labels,Count of religiousness,Sum of affairs,,,,
0,male,37,10,yes,4,20,6,4,NO,30-39,,female,315,447,,,,
0,female,47,15,yes,3,17,6,5,NO,40-49,,male,286,428,,,,
0,female,22,1.5,no,5,16,5,5,NO,20 - 29,,Grand Total,601,875,,,,
0,female,27,1.5,no,2,16,6,4,NO,20 - 29,,,,,,,,
0,female,27,4,no,3,17,5,5,NO,20 - 29,,,,,,,,
0,female,32,10,yes,5,14,4,5,NO,30-39,,,,,,,,
0,female,22,0.125,no,2,12,5,5,NO,20 - 29,,,,,,,,
0,male,47,15,yes,4,14,4,3,NO,40-49,,,,,,,,
0,male,32,15,yes,1,14,5,5,NO,30-39,,,,,,,,
0,male,27,7,yes,4,16,5,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,yes,3,16,5,5,NO,20 - 29,,,,,,,,
0,male,27,4,yes,3,17,6,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,3,16,5,5,NO,20 - 29,,,,,,,,
0,male,57,15,yes,2,14,7,2,NO,50-59,,,,,,,,
0,male,17.5,1.5,yes,3,18,6,5,NO,10 - 19,,,,,,,,
0,male,57,15,yes,4,20,6,5,NO,50-59,,,,,,,,
0,female,22,0.75,no,2,16,3,4,NO,20 - 29,,,,,,,,
0,male,42,4,no,4,17,3,3,NO,40-49,,,,,,,,
0,female,22,1.5,yes,4,12,1,5,NO,20 - 29,,,,,,,,
0,female,22,0.417,no,1,17,6,4,NO,20 - 29,,,,,,,,
0,female,32,15,yes,4,17,5,5,NO,30-39,,,,,,,,
0,female,27,1.5,no,3,18,5,2,NO,20 - 29,,,,,,,,
0,female,22,1.5,yes,3,14,1,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,3,14,1,4,NO,30-39,,,,,,,,
0,female,32,15,yes,4,14,3,4,NO,30-39,,,,,,,,
0,male,37,10,yes,2,14,5,3,NO,30-39,,,,,,,,
0,male,37,10,yes,4,16,5,4,NO,30-39,,,,,,,,
0,male,57,15,yes,5,20,5,3,NO,50-59,,,,,,,,
0,male,27,0.417,no,1,16,3,4,NO,20 - 29,,,,,,,,
0,female,42,15,yes,5,14,1,5,NO,40-49,,,,,,,,
0,male,57,15,yes,3,16,6,1,NO,50-59,,,,,,,,
0,male,37,10,yes,1,16,6,4,NO,30-39,,,,,,,,
0,male,37,15,yes,3,17,5,5,NO,30-39,,,,,,,,
0,male,37,15,yes,4,20,6,5,NO,30-39,,,,,,,,
0,female,27,10,yes,5,14,1,5,NO,20 - 29,,,,,,,,
0,male,37,10,yes,2,18,6,4,NO,30-39,,,,,,,,
0,female,22,0.125,no,4,12,4,5,NO,20 - 29,,,,,,,,
0,male,57,15,yes,5,20,6,5,NO,50-59,,,,,,,,
0,female,37,15,yes,4,18,6,4,NO,30-39,,,,,,,,
0,male,22,4,yes,4,14,6,4,NO,20 - 29,,,,,,,,
0,male,27,7,yes,4,18,5,4,NO,20 - 29,,,,,,,,
0,male,57,15,yes,4,20,5,4,NO,50-59,,,,,,,,
0,male,32,15,yes,3,14,6,3,NO,30-39,,,,,,,,
0,female,22,1.5,no,2,14,5,4,NO,20 - 29,,,,,,,,
0,female,32,7,yes,4,17,1,5,NO,30-39,,,,,,,,
0,female,37,15,yes,4,17,6,5,NO,30-39,,,,,,,,
0,female,32,1.5,no,5,18,5,5,NO,30-39,,,,,,,,
0,male,42,10,yes,5,20,7,4,NO,40-49,,,,,,,,
0,female,27,7,no,3,16,5,4,NO,20 - 29,,,,,,,,
0,male,37,15,no,4,20,6,5,NO,30-39,,,,,,,,
0,male,37,15,yes,4,14,3,2,NO,30-39,,,,,,,,
0,male,32,10,no,5,18,6,4,NO,30-39,,,,,,,,
0,female,22,0.75,no,4,16,1,5,NO,20 - 29,,,,,,,,
0,female,27,7,yes,4,12,2,4,NO,20 - 29,,,,,,,,
0,female,27,7,yes,2,16,2,5,NO,20 - 29,,,,,,,,
0,female,42,15,yes,5,18,5,4,NO,40-49,,,,,,,,
0,male,42,15,yes,4,17,5,3,NO,40-49,,,,,,,,
0,female,27,7,yes,2,16,1,2,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,3,16,5,5,NO,20 - 29,,,,,,,,
0,male,37,15,yes,5,20,6,5,NO,30-39,,,,,,,,
0,female,22,0.125,no,2,14,4,5,NO,20 - 29,,,,,,,,
0,male,27,1.5,no,4,16,5,5,NO,20 - 29,,,,,,,,
0,male,32,1.5,no,2,18,6,5,NO,30-39,,,,,,,,
0,male,27,1.5,no,2,17,6,5,NO,20 - 29,,,,,,,,
0,female,27,10,yes,4,16,1,3,NO,20 - 29,,,,,,,,
0,male,42,15,yes,4,18,6,5,NO,40-49,,,,,,,,
0,female,27,1.5,no,2,16,6,5,NO,20 - 29,,,,,,,,
0,male,27,4,no,2,18,6,3,NO,20 - 29,,,,,,,,
0,female,32,10,yes,3,14,5,3,NO,30-39,,,,,,,,
0,female,32,15,yes,3,18,5,4,NO,30-39,,,,,,,,
0,female,22,0.75,no,2,18,6,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,2,16,1,4,NO,30-39,,,,,,,,
0,male,27,4,yes,4,20,5,5,NO,20 - 29,,,,,,,,
0,male,27,4,no,1,20,5,4,NO,20 - 29,,,,,,,,
0,female,27,10,yes,2,12,1,4,NO,20 - 29,,,,,,,,
0,female,32,15,yes,5,18,6,4,NO,30-39,,,,,,,,
0,male,27,7,yes,5,12,5,3,NO,20 - 29,,,,,,,,
0,male,52,15,yes,2,18,5,4,NO,50-59,,,,,,,,
0,male,27,4,no,3,20,6,3,NO,20 - 29,,,,,,,,
0,male,37,4,yes,1,18,5,4,NO,30-39,,,,,,,,
0,male,27,4,yes,4,14,5,4,NO,20 - 29,,,,,,,,
0,female,52,15,yes,5,12,1,3,NO,50-59,,,,,,,,
0,female,57,15,yes,4,16,6,4,NO,50-59,,,,,,,,
0,male,27,7,yes,1,16,5,4,NO,20 - 29,,,,,,,,
0,male,37,7,yes,4,20,6,3,NO,30-39,,,,,,,,
0,male,22,0.75,no,2,14,4,3,NO,20 - 29,,,,,,,,
0,male,32,4,yes,2,18,5,3,NO,30-39,,,,,,,,
0,male,37,15,yes,4,20,6,3,NO,30-39,,,,,,,,
0,male,22,0.75,yes,2,14,4,3,NO,20 - 29,,,,,,,,
0,male,42,15,yes,4,20,6,3,NO,40-49,,,,,,,,
0,female,52,15,yes,5,17,1,1,NO,50-59,,,,,,,,
0,female,37,15,yes,4,14,1,2,NO,30-39,,,,,,,,
0,male,27,7,yes,4,14,5,3,NO,20 - 29,,,,,,,,
0,male,32,4,yes,2,16,5,5,NO,30-39,,,,,,,,
0,female,27,4,yes,2,18,6,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,2,18,5,5,NO,20 - 29,,,,,,,,
0,male,37,15,yes,5,18,6,5,NO,30-39,,,,,,,,
0,female,47,15,yes,5,12,5,4,NO,40-49,,,,,,,,
0,female,32,10,yes,3,17,1,4,NO,30-39,,,,,,,,
0,female,27,1.5,yes,4,17,1,2,NO,20 - 29,,,,,,,,
0,female,57,15,yes,2,18,5,2,NO,50-59,,,,,,,,
0,female,22,1.5,no,4,14,5,4,NO,20 - 29,,,,,,,,
0,male,42,15,yes,3,14,3,4,NO,40-49,,,,,,,,
0,male,57,15,yes,4,9,2,2,NO,50-59,,,,,,,,
0,male,57,15,yes,4,20,6,5,NO,50-59,,,,,,,,
0,female,22,0.125,no,4,14,4,5,NO,20 - 29,,,,,,,,
0,female,32,10,yes,4,14,1,5,NO,30-39,,,,,,,,
0,female,42,15,yes,3,18,5,4,NO,40-49,,,,,,,,
0,female,27,1.5,no,2,18,6,5,NO,20 - 29,,,,,,,,
0,male,32,0.125,yes,2,18,5,2,NO,30-39,,,,,,,,
0,female,27,4,no,3,16,5,4,NO,20 - 29,,,,,,,,
0,female,27,10,yes,2,16,1,4,NO,20 - 29,,,,,,,,
0,female,32,7,yes,4,16,1,3,NO,30-39,,,,,,,,
0,female,37,15,yes,4,14,5,4,NO,30-39,,,,,,,,
0,female,42,15,yes,5,17,6,2,NO,40-49,,,,,,,,
0,male,32,1.5,yes,4,14,6,5,NO,30-39,,,,,,,,
0,female,32,4,yes,3,17,5,3,NO,30-39,,,,,,,,
0,female,37,7,no,4,18,5,5,NO,30-39,,,,,,,,
0,female,22,0.417,yes,3,14,3,5,NO,20 - 29,,,,,,,,
0,female,27,7,yes,4,14,1,5,NO,20 - 29,,,,,,,,
0,male,27,0.75,no,3,16,5,5,NO,20 - 29,,,,,,,,
0,male,27,4,yes,2,20,5,5,NO,20 - 29,,,,,,,,
0,male,32,10,yes,4,16,4,5,NO,30-39,,,,,,,,
0,male,32,15,yes,1,14,5,5,NO,30-39,,,,,,,,
0,male,22,0.75,no,3,17,4,5,NO,20 - 29,,,,,,,,
0,female,27,7,yes,4,17,1,4,NO,20 - 29,,,,,,,,
0,male,27,0.417,yes,4,20,5,4,NO,20 - 29,,,,,,,,
0,male,37,15,yes,4,20,5,4,NO,30-39,,,,,,,,
0,female,37,15,yes,2,14,1,3,NO,30-39,,,,,,,,
0,male,22,4,yes,1,18,5,4,NO,20 - 29,,,,,,,,
0,male,37,15,yes,4,17,5,3,NO,30-39,,,,,,,,
0,female,22,1.5,no,2,14,4,5,NO,20 - 29,,,,,,,,
0,male,52,15,yes,4,14,6,2,NO,50-59,,,,,,,,
0,female,22,1.5,no,4,17,5,5,NO,20 - 29,,,,,,,,
0,male,32,4,yes,5,14,3,5,NO,30-39,,,,,,,,
0,male,32,4,yes,2,14,3,5,NO,30-39,,,,,,,,
0,female,22,1.5,no,3,16,6,5,NO,20 - 29,,,,,,,,
0,male,27,0.75,no,2,18,3,3,NO,20 - 29,,,,,,,,
0,female,22,7,yes,2,14,5,2,NO,20 - 29,,,,,,,,
0,female,27,0.75,no,2,17,5,3,NO,20 - 29,,,,,,,,
0,female,37,15,yes,4,12,1,2,NO,30-39,,,,,,,,
0,female,22,1.5,no,1,14,1,5,NO,20 - 29,,,,,,,,
0,female,37,10,no,2,12,4,4,NO,30-39,,,,,,,,
0,female,37,15,yes,4,18,5,3,NO,30-39,,,,,,,,
0,female,42,15,yes,3,12,3,3,NO,40-49,,,,,,,,
0,male,22,4,no,2,18,5,5,NO,20 - 29,,,,,,,,
0,male,52,7,yes,2,20,6,2,NO,50-59,,,,,,,,
0,male,27,0.75,no,2,17,5,5,NO,20 - 29,,,,,,,,
0,female,27,4,no,2,17,4,5,NO,20 - 29,,,,,,,,
0,male,42,1.5,no,5,20,6,5,NO,40-49,,,,,,,,
0,male,22,1.5,no,4,17,6,5,NO,20 - 29,,,,,,,,
0,male,22,4,no,4,17,5,3,NO,20 - 29,,,,,,,,
0,female,22,4,yes,1,14,5,4,NO,20 - 29,,,,,,,,
0,male,37,15,yes,5,20,4,5,NO,30-39,,,,,,,,
0,female,37,10,yes,3,16,6,3,NO,30-39,,,,,,,,
0,male,42,15,yes,4,17,6,5,NO,40-49,,,,,,,,
0,female,47,15,yes,4,17,5,5,NO,40-49,,,,,,,,
0,male,22,1.5,no,4,16,5,4,NO,20 - 29,,,,,,,,
0,female,32,10,yes,3,12,1,4,NO,30-39,,,,,,,,
0,female,22,7,yes,1,14,3,5,NO,20 - 29,,,,,,,,
0,female,32,10,yes,4,17,5,4,NO,30-39,,,,,,,,
0,male,27,1.5,yes,2,16,2,4,NO,20 - 29,,,,,,,,
0,male,37,15,yes,4,14,5,5,NO,30-39,,,,,,,,
0,male,42,4,yes,3,14,4,5,NO,40-49,,,,,,,,
0,female,37,15,yes,5,14,5,4,NO,30-39,,,,,,,,
0,female,32,7,yes,4,17,5,5,NO,30-39,,,,,,,,
0,female,42,15,yes,4,18,6,5,NO,40-49,,,,,,,,
0,male,27,4,no,4,18,6,4,NO,20 - 29,,,,,,,,
0,male,22,0.75,no,4,18,6,5,NO,20 - 29,,,,,,,,
0,male,27,4,yes,4,14,5,3,NO,20 - 29,,,,,,,,
0,female,22,0.75,no,5,18,1,5,NO,20 - 29,,,,,,,,
0,female,52,15,yes,5,9,5,5,NO,50-59,,,,,,,,
0,male,32,10,yes,3,14,5,5,NO,30-39,,,,,,,,
0,female,37,15,yes,4,16,4,4,NO,30-39,,,,,,,,
0,male,32,7,yes,2,20,5,4,NO,30-39,,,,,,,,
0,female,42,15,yes,3,18,1,4,NO,40-49,,,,,,,,
0,male,32,15,yes,1,16,5,5,NO,30-39,,,,,,,,
0,male,27,4,yes,3,18,5,5,NO,20 - 29,,,,,,,,
0,female,32,15,yes,4,12,3,4,NO,30-39,,,,,,,,
0,male,22,0.75,yes,3,14,2,4,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,3,16,5,3,NO,20 - 29,,,,,,,,
0,female,42,15,yes,4,14,3,5,NO,40-49,,,,,,,,
0,female,52,15,yes,3,16,5,4,NO,50-59,,,,,,,,
0,male,37,15,yes,5,20,6,4,NO,30-39,,,,,,,,
0,female,47,15,yes,4,12,2,3,NO,40-49,,,,,,,,
0,male,57,15,yes,2,20,6,4,NO,50-59,,,,,,,,
0,male,32,7,yes,4,17,5,5,NO,30-39,,,,,,,,
0,female,27,7,yes,4,17,1,4,NO,20 - 29,,,,,,,,
0,male,22,1.5,no,1,18,6,5,NO,20 - 29,,,,,,,,
0,female,22,4,yes,3,9,1,4,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,2,14,1,5,NO,20 - 29,,,,,,,,
0,male,42,15,yes,2,20,6,4,NO,40-49,,,,,,,,
0,male,57,15,yes,4,9,2,4,NO,50-59,,,,,,,,
0,female,27,7,yes,2,18,1,5,NO,20 - 29,,,,,,,,
0,female,22,4,yes,3,14,1,5,NO,20 - 29,,,,,,,,
0,male,37,15,yes,4,14,5,3,NO,30-39,,,,,,,,
0,male,32,7,yes,1,18,6,4,NO,30-39,,,,,,,,
0,female,22,1.5,no,2,14,5,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,yes,3,12,1,3,NO,20 - 29,,,,,,,,
0,male,52,15,yes,2,14,5,5,NO,50-59,,,,,,,,
0,female,37,15,yes,2,14,1,1,NO,30-39,,,,,,,,
0,female,32,10,yes,2,14,5,5,NO,30-39,,,,,,,,
0,male,42,15,yes,4,20,4,5,NO,40-49,,,,,,,,
0,female,27,4,yes,3,18,4,5,NO,20 - 29,,,,,,,,
0,male,37,15,yes,4,20,6,5,NO,30-39,,,,,,,,
0,male,27,1.5,no,3,18,5,5,NO,20 - 29,,,,,,,,
0,female,22,0.125,no,2,16,6,3,NO,20 - 29,,,,,,,,
0,male,32,10,yes,2,20,6,3,NO,30-39,,,,,,,,
0,female,27,4,no,4,18,5,4,NO,20 - 29,,,,,,,,
0,female,27,7,yes,2,12,5,1,NO,20 - 29,,,,,,,,
0,male,32,4,yes,5,18,6,3,NO,30-39,,,,,,,,
0,female,37,15,yes,2,17,5,5,NO,30-39,,,,,,,,
0,male,47,15,no,4,20,6,4,NO,40-49,,,,,,,,
0,male,27,1.5,no,1,18,5,5,NO,20 - 29,,,,,,,,
0,male,37,15,yes,4,20,6,4,NO,30-39,,,,,,,,
0,female,32,15,yes,4,18,1,4,NO,30-39,,,,,,,,
0,female,32,7,yes,4,17,5,4,NO,30-39,,,,,,,,
0,female,42,15,yes,3,14,1,3,NO,40-49,,,,,,,,
0,female,27,7,yes,3,16,1,4,NO,20 - 29,,,,,,,,
0,male,27,1.5,no,3,16,4,2,NO,20 - 29,,,,,,,,
0,male,22,1.5,no,3,16,3,5,NO,20 - 29,,,,,,,,
0,male,27,4,yes,3,16,4,2,NO,20 - 29,,,,,,,,
