affairs,gender,age,yearsmarried,children,religiousness,education,occupation,rating,Affair_status,Category,,,,,,,,
0,female,27,7,yes,3,12,1,2,NO,20 - 29,,,,,,,,
0,female,37,15,yes,2,18,5,4,NO,30-39,,,,,,,,
0,female,37,7,yes,3,14,4,4,NO,30-39,,,,,,,,
0,male,22,1.5,no,2,16,5,5,NO,20 - 29,,,,,,,,
0,male,37,15,yes,5,20,5,4,NO,30-39,,,,,,,,
0,female,22,1.5,no,4,16,5,3,NO,20 - 29,,,,,,,,
0,female,32,10,yes,4,16,1,5,NO,30-39,,,,,,,,
0,male,27,4,no,2,17,5,3,NO,20 - 29,,,,,,,,
0,female,22,0.417,no,4,14,5,5,NO,20 - 29,,,,,,,,
0,female,27,4,no,2,18,5,5,NO,20 - 29,,,,,,,,
0,male,37,15,yes,4,18,5,3,NO,30-39,,,,,,,,
0,male,37,10,yes,5,20,7,4,NO,30-39,,,,,,,,
0,female,27,7,yes,2,14,4,2,NO,20 - 29,,,,,,,,
0,male,32,4,yes,2,16,5,5,NO,30-39,,,,,,,,
0,male,32,4,yes,2,16,6,4,NO,30-39,,,,,,,,
0,male,22,1.5,no,3,18,4,5,NO,20 - 29,,,,,,,,
0,female,22,4,yes,4,14,3,4,NO,20 - 29,,,,,,,,
0,female,17.5,0.75,no,2,18,5,4,NO,10 - 19,,,,,,,,
0,male,32,10,yes,4,20,4,5,NO,30-39,,,,,,,,
0,female,32,0.75,no,5,14,3,3,NO,30-39,,,,,,,,
0,male,37,15,yes,4,17,5,3,NO,30-39,,,,,,,,
0,male,32,4,no,3,14,4,5,NO,30-39,,,,,,,,
0,female,27,1.5,no,2,17,3,2,NO,20 - 29,,,,,,,,
0,female,22,7,yes,4,14,1,5,NO,20 - 29,,,,,,,,
0,male,47,15,yes,5,14,6,5,NO,40-49,,,,,,,,
0,male,27,4,yes,1,16,4,4,NO,20 - 29,,,,,,,,
0,female,37,15,yes,5,14,1,3,NO,30-39,,,,,,,,
0,male,42,4,yes,4,18,5,5,NO,40-49,,,,,,,,
0,female,32,4,yes,2,14,1,5,NO,30-39,,,,,,,,
0,male,52,15,yes,2,14,7,4,NO,50-59,,,,,,,,
0,female,22,1.5,no,2,16,1,4,NO,20 - 29,,,,,,,,
0,male,52,15,yes,4,12,2,4,NO,50-59,,,,,,,,
0,female,22,0.417,no,3,17,1,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,2,16,5,5,NO,20 - 29,,,,,,,,
0,male,27,4,yes,4,20,6,4,NO,20 - 29,,,,,,,,
0,female,32,15,yes,4,14,1,5,NO,30-39,,,,,,,,
0,female,27,1.5,no,2,16,3,5,NO,20 - 29,,,,,,,,
0,male,32,4,no,1,20,6,5,NO,30-39,,,,,,,,
0,male,37,15,yes,3,20,6,4,NO,30-39,,,,,,,,
0,female,32,10,no,2,16,6,5,NO,30-39,,,,,,,,
0,female,32,10,yes,5,14,5,5,NO,30-39,,,,,,,,
0,male,37,1.5,yes,4,18,5,3,NO,30-39,,,,,,,,
0,male,32,1.5,no,2,18,4,4,NO,30-39,,,,,,,,
0,female,32,10,yes,4,14,1,4,NO,30-39,,,,,,,,
0,female,47,15,yes,4,18,5,4,NO,40-49,,,,,,,,
0,female,27,10,yes,5,12,1,5,NO,20 - 29,,,,,,,,
0,male,27,4,yes,3,16,4,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,4,12,4,2,NO,30-39,,,,,,,,
0,female,27,0.75,no,4,16,5,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,4,16,1,5,NO,30-39,,,,,,,,
0,female,32,15,yes,3,16,1,5,NO,30-39,,,,,,,,
0,female,27,10,yes,2,16,1,5,NO,20 - 29,,,,,,,,
0,male,27,7,no,2,20,6,5,NO,20 - 29,,,,,,,,
0,female,37,15,yes,2,14,1,3,NO,30-39,,,,,,,,
0,male,27,1.5,yes,2,17,4,4,NO,20 - 29,,,,,,,,
0,female,22,0.75,yes,2,14,1,5,NO,20 - 29,,,,,,,,
0,male,22,4,yes,4,14,2,4,NO,20 - 29,,,,,,,,
0,male,42,0.125,no,4,17,6,4,NO,40-49,,,,,,,,
0,male,27,1.5,yes,4,18,6,5,NO,20 - 29,,,,,,,,
0,male,27,7,yes,3,16,6,3,NO,20 - 29,,,,,,,,
0,female,52,15,yes,4,14,1,3,NO,50-59,,,,,,,,
0,male,27,1.5,no,5,20,5,2,NO,20 - 29,,,,,,,,
0,female,27,1.5,no,2,16,5,5,NO,20 - 29,,,,,,,,
0,female,27,1.5,no,3,17,5,5,NO,20 - 29,,,,,,,,
0,male,22,0.125,no,5,16,4,4,NO,20 - 29,,,,,,,,
0,female,27,4,yes,4,16,1,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,4,12,1,5,NO,20 - 29,,,,,,,,
0,female,47,15,yes,2,14,5,5,NO,40-49,,,,,,,,
0,female,32,15,yes,3,14,5,3,NO,30-39,,,,,,,,
0,male,42,7,yes,2,16,5,5,NO,40-49,,,,,,,,
0,male,22,0.75,no,4,16,6,4,NO,20 - 29,,,,,,,,
0,male,27,0.125,no,3,20,6,5,NO,20 - 29,,,,,,,,
0,male,32,10,yes,3,20,6,5,NO,30-39,,,,,,,,
0,female,22,0.417,no,5,14,4,5,NO,20 - 29,,,,,,,,
0,female,47,15,yes,5,14,1,4,NO,40-49,,,,,,,,
0,female,32,10,yes,3,14,1,5,NO,30-39,,,,,,,,
0,male,57,15,yes,4,17,5,5,NO,50-59,,,,,,,,
0,male,27,4,yes,3,20,6,5,NO,20 - 29,,,,,,,,
0,female,32,7,yes,4,17,1,5,NO,30-39,,,,,,,,
0,female,37,10,yes,4,16,1,5,NO,30-39,,,,,,,,
0,female,32,10,yes,1,18,1,4,NO,30-39,,,,,,,,
0,female,22,4,no,3,14,1,4,NO,20 - 29,,,,,,,,
0,female,27,7,yes,4,14,3,2,NO,20 - 29,,,,,,,,
0,male,57,15,yes,5,18,5,2,NO,50-59,,,,,,,,
0,male,32,7,yes,2,18,5,5,NO,30-39,,,,,,,,
0,female,27,1.5,no,4,17,1,3,NO,20 - 29,,,,,,,,
0,male,22,1.5,no,4,14,5,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,yes,4,14,5,4,NO,20 - 29,,,,,,,,
0,female,32,7,yes,3,16,1,5,NO,30-39,,,,,,,,
0,female,47,15,yes,3,16,5,4,NO,40-49,,,,,,,,
0,female,22,0.75,no,3,16,1,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,yes,2,14,5,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,1,16,5,5,NO,20 - 29,,,,,,,,
0,male,52,15,yes,4,16,5,5,NO,50-59,,,,,,,,
0,male,32,10,yes,4,20,6,5,NO,30-39,,,,,,,,
0,male,47,15,yes,4,16,6,4,NO,40-49,,,,,,,,
0,female,27,7,yes,2,14,1,2,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,4,14,4,5,NO,20 - 29,,,,,,,,
0,female,32,10,yes,2,16,5,4,NO,30-39,,,,,,,,
0,female,22,0.75,no,2,16,5,4,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,2,16,5,5,NO,20 - 29,,,,,,,,
0,female,42,15,yes,3,18,6,4,NO,40-49,,,,,,,,
0,female,27,7,yes,5,14,4,5,NO,20 - 29,,,,,,,,
0,male,42,15,yes,4,16,4,4,NO,40-49,,,,,,,,
0,female,57,15,yes,3,18,5,2,NO,50-59,,,,,,,,
0,male,42,15,yes,3,18,6,2,NO,40-49,,,,,,,,
0,female,32,7,yes,2,14,1,2,NO,30-39,,,,,,,,
0,male,22,4,no,5,12,4,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,1,16,6,5,NO,20 - 29,,,,,,,,
0,female,22,0.75,no,1,14,4,5,NO,20 - 29,,,,,,,,
0,female,32,15,yes,4,12,1,5,NO,30-39,,,,,,,,
0,male,22,1.5,no,2,18,5,3,NO,20 - 29,,,,,,,,
0,male,27,4,yes,5,17,2,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,4,12,1,5,NO,20 - 29,,,,,,,,
0,male,42,15,yes,5,18,5,4,NO,40-49,,,,,,,,
0,male,32,1.5,no,2,20,7,3,NO,30-39,,,,,,,,
0,male,57,15,no,4,9,3,1,NO,50-59,,,,,,,,
0,male,37,7,no,4,18,5,5,NO,30-39,,,,,,,,
0,male,52,15,yes,2,17,5,4,NO,50-59,,,,,,,,
0,male,47,15,yes,4,17,6,5,NO,40-49,,,,,,,,
0,female,27,7,no,2,17,5,4,NO,20 - 29,,,,,,,,
0,female,27,7,yes,4,14,5,5,NO,20 - 29,,,,,,,,
0,female,22,4,no,2,14,3,3,NO,20 - 29,,,,,,,,
0,male,37,7,yes,2,20,6,5,NO,30-39,,,,,,,,
0,male,27,7,no,4,12,4,3,NO,20 - 29,,,,,,,,
0,male,42,10,yes,4,18,6,4,NO,40-49,,,,,,,,
0,female,22,1.5,no,3,14,1,5,NO,20 - 29,,,,,,,,
0,female,22,4,yes,2,14,1,3,NO,20 - 29,,,,,,,,
0,female,57,15,no,4,20,6,5,NO,50-59,,,,,,,,
0,male,37,15,yes,4,14,4,3,NO,30-39,,,,,,,,
0,female,27,7,yes,3,18,5,5,NO,20 - 29,,,,,,,,
0,female,17.5,10,no,4,14,4,5,NO,10 - 19,,,,,,,,
0,male,22,4,yes,4,16,5,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,2,16,1,4,NO,20 - 29,,,,,,,,
0,female,37,15,yes,2,14,5,1,NO,30-39,,,,,,,,
0,female,22,1.5,no,5,14,1,4,NO,20 - 29,,,,,,,,
0,male,27,7,yes,2,20,5,4,NO,20 - 29,,,,,,,,
0,male,27,4,yes,4,14,5,5,NO,20 - 29,,,,,,,,
0,male,22,0.125,no,1,16,3,5,NO,20 - 29,,,,,,,,
0,female,27,7,yes,4,14,1,4,NO,20 - 29,,,,,,,,
0,female,32,15,yes,5,16,5,3,NO,30-39,,,,,,,,
0,male,32,10,yes,4,18,5,4,NO,30-39,,,,,,,,
0,female,32,15,yes,2,14,3,4,NO,30-39,,,,,,,,
0,female,22,1.5,no,3,17,5,5,NO,20 - 29,,,,,,,,
0,male,27,4,yes,4,17,4,4,NO,20 - 29,,,,,,,,
0,female,52,15,yes,5,14,1,5,NO,50-59,,,,,,,,
0,female,27,7,yes,2,12,1,2,NO,20 - 29,,,,,,,,
0,female,27,7,yes,3,12,1,4,NO,20 - 29,,,,,,,,
0,female,42,15,yes,2,14,1,4,NO,40-49,,,,,,,,
0,female,42,15,yes,4,14,5,4,NO,40-49,,,,,,,,
0,male,27,7,yes,4,14,3,3,NO,20 - 29,,,,,,,,
0,male,27,7,yes,2,20,6,2,NO,20 - 29,,,,,,,,
0,female,42,15,yes,3,12,3,3,NO,40-49,,,,,,,,
0,male,27,4,yes,3,16,3,5,NO,20 - 29,,,,,,,,
0,female,27,7,yes,3,14,1,4,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,2,14,4,5,NO,20 - 29,,,,,,,,
0,female,27,4,yes,4,14,1,4,NO,20 - 29,,,,,,,,
0,female,22,4,no,4,14,5,5,NO,20 - 29,,,,,,,,
0,female,22,1.5,no,2,16,4,5,NO,20 - 29,,,,,,,,
0,male,47,15,no,4,14,5,4,NO,40-49,,,,,,,,
0,male,37,10,yes,2,18,6,2,NO,30-39,,,,,,,,
0,male,37,15,yes,3,17,5,4,NO,30-39,,,,,,,,
0,female,27,4,yes,2,16,1,4,NO,20 - 29,,,,,,,,
3,male,27,1.5,no,3,18,4,4,YES,20 - 29,,,,,,,,
3,female,27,4,yes,3,17,1,5,YES,20 - 29,,,,,,,,
7,male,37,15,yes,5,18,6,2,YES,30-39,,,,,,,,
12,female,32,10,yes,3,17,5,2,YES,30-39,,,,,,,,
1,male,22,0.125,no,4,16,5,5,YES,20 - 29,,,,,,,,
1,female,22,1.5,yes,2,14,1,5,YES,20 - 29,,,,,,,,
12,male,37,15,yes,4,14,5,2,YES,30-39,,,,,,,,
7,female,22,1.5,no,2,14,3,4,YES,20 - 29,,,,,,,,
2,male,37,15,yes,2,18,6,4,YES,30-39,,,,,,,,
3,female,32,15,yes,4,12,3,2,YES,30-39,,,,,,,,
1,female,37,15,yes,4,14,4,2,YES,30-39,,,,,,,,
7,female,42,15,yes,3,17,1,4,YES,40-49,,,,,,,,
12,female,42,15,yes,5,9,4,1,YES,40-49,,,,,,,,
12,male,37,10,yes,2,20,6,2,YES,30-39,,,,,,,,
12,female,32,15,yes,3,14,1,2,YES,30-39,,,,,,,,
3,male,27,4,no,1,18,6,5,YES,20 - 29,,,,,,,,
7,male,37,10,yes,2,18,7,3,YES,30-39,,,,,,,,
7,female,27,4,no,3,17,5,5,YES,20 - 29,,,,,,,,
1,male,42,15,yes,4,16,5,5,YES,40-49,,,,,,,,
1,female,47,15,yes,5,14,4,5,YES,40-49,,,,,,,,
7,female,27,4,yes,3,18,5,4,YES,20 - 29,,,,,,,,
1,female,27,7,yes,5,14,1,4,YES,20 - 29,,,,,,,,
12,male,27,1.5,yes,3,17,5,4,YES,20 - 29,,,,,,,,
12,female,27,7,yes,4,14,6,2,YES,20 - 29,,,,,,,,
3,female,42,15,yes,4,16,5,4,YES,40-49,,,,,,,,
7,female,27,10,yes,4,12,7,3,YES,20 - 29,,,,,,,,
1,male,27,1.5,no,2,18,5,2,YES,20 - 29,,,,,,,,
1,male,32,4,no,4,20,6,4,YES,30-39,,,,,,,,
1,female,27,7,yes,3,14,1,3,YES,20 - 29,,,,,,,,
3,female,32,10,yes,4,14,1,4,YES,30-39,,,,,,,,
3,male,27,4,yes,2,18,7,2,YES,20 - 29,,,,,,,,
1,female,17.5,0.75,no,5,14,4,5,YES,10 - 19,,,,,,,,
1,female,32,10,yes,4,18,1,5,YES,30-39,,,,,,,,
7,female,32,7,yes,2,17,6,4,YES,30-39,,,,,,,,
7,male,37,15,yes,2,20,6,4,YES,30-39,,,,,,,,
7,female,37,10,no,1,20,5,3,YES,30-39,,,,,,,,
12,female,32,10,yes,2,16,5,5,YES,30-39,,,,,,,,
7,male,52,15,yes,2,20,6,4,YES,50-59,,,,,,,,
7,female,42,15,yes,1,12,1,3,YES,40-49,,,,,,,,
1,male,52,15,yes,2,20,6,3,YES,50-59,,,,,,,,
2,male,37,15,yes,3,18,6,5,YES,30-39,,,,,,,,
12,female,22,4,no,3,12,3,4,YES,20 - 29,,,,,,,,
12,male,27,7,yes,1,18,6,2,YES,20 - 29,,,,,,,,
1,male,27,4,yes,3,18,5,5,YES,20 - 29,,,,,,,,
12,male,47,15,yes,4,17,6,5,YES,40-49,,,,,,,,
12,female,42,15,yes,4,12,1,1,YES,40-49,,,,,,,,
7,male,27,4,no,3,14,3,4,YES,20 - 29,,,,,,,,
7,female,32,7,yes,4,18,4,5,YES,30-39,,,,,,,,
1,male,32,0.417,yes,3,12,3,4,YES,30-39,,,,,,,,
3,male,47,15,yes,5,16,5,4,YES,40-49,,,,,,,,
12,male,37,15,yes,2,20,5,4,YES,30-39,,,,,,,,
7,male,22,4,yes,2,17,6,4,YES,20 - 29,,,,,,,,
1,male,27,4,no,2,14,4,5,YES,20 - 29,,,,,,,,
7,female,52,15,yes,5,16,1,3,YES,50-59,,,,,,,,
1,male,27,4,no,3,14,3,3,YES,20 - 29,,,,,,,,
1,female,27,10,yes,4,16,1,4,YES,20 - 29,,,,,,,,
1,male,32,7,yes,3,14,7,4,YES,30-39,,,,,,,,
7,male,32,7,yes,2,18,4,1,YES,30-39,,,,,,,,
3,male,22,1.5,no,1,14,3,2,YES,20 - 29,,,,,,,,
7,male,22,4,yes,3,18,6,4,YES,20 - 29,,,,,,,,
7,male,42,15,yes,4,20,6,4,YES,40-49,,,,,,,,
2,female,57,15,yes,1,18,5,4,YES,50-59,,,,,,,,
7,female,32,4,yes,3,18,5,2,YES,30-39,,,,,,,,
1,male,27,4,yes,1,16,4,4,YES,20 - 29,,,,,,,,
7,male,32,7,yes,4,16,1,4,YES,30-39,,,,,,,,
2,male,57,15,yes,1,17,4,4,YES,50-59,,,,,,,,
7,female,42,15,yes,4,14,5,2,YES,40-49,,,,,,,,
7,male,37,10,yes,1,18,5,3,YES,30-39,,,,,,,,
3,male,42,15,yes,3,17,6,1,YES,40-49,,,,,,,,
1,female,52,15,yes,3,14,4,4,YES,50-59,,,,,,,,
2,female,27,7,yes,3,17,5,3,YES,20 - 29,,,,,,,,
12,male,32,7,yes,2,12,4,2,YES,30-39,,,,,,,,
1,male,22,4,no,4,14,2,5,YES,20 - 29,,,,,,,,
3,male,27,7,yes,3,18,6,4,YES,20 - 29,,,,,,,,
12,female,37,15,yes,1,18,5,5,YES,30-39,,,,,,,,
7,female,32,15,yes,3,17,1,3,YES,30-39,,,,,,,,
7,female,27,7,no,2,17,5,5,YES,20 - 29,,,,,,,,
1,female,32,7,yes,3,17,5,3,YES,30-39,,,,,,,,
1,male,32,1.5,yes,2,14,2,4,YES,30-39,,,,,,,,
12,female,42,15,yes,4,14,1,2,YES,40-49,,,,,,,,
7,male,32,10,yes,3,14,5,4,YES,30-39,,,,,,,,
7,male,37,4,yes,1,20,6,3,YES,30-39,,,,,,,,
1,female,27,4,yes,2,16,5,3,YES,20 - 29,,,,,,,,
12,female,42,15,yes,3,14,4,3,YES,40-49,,,,,,,,
1,male,27,10,yes,5,20,6,5,YES,20 - 29,,,,,,,,
12,male,37,10,yes,2,20,6,2,YES,30-39,,,,,,,,
12,female,27,7,yes,1,14,3,3,YES,20 - 29,,,,,,,,
3,female,27,7,yes,4,12,1,2,YES,20 - 29,,,,,,,,
3,male,32,10,yes,2,14,4,4,YES,30-39,,,,,,,,
12,female,17.5,0.75,yes,2,12,1,3,YES,10 - 19,,,,,,,,
12,female,32,15,yes,3,18,5,4,YES,30-39,,,,,,,,
2,female,22,7,no,4,14,4,3,YES,20 - 29,,,,,,,,
1,male,32,7,yes,4,20,6,5,YES,30-39,,,,,,,,
7,male,27,4,yes,2,18,6,2,YES,20 - 29,,,,,,,,
1,female,22,1.5,yes,5,14,5,3,YES,20 - 29,,,,,,,,
12,female,32,15,no,3,17,5,1,YES,30-39,,,,,,,,
12,female,42,15,yes,2,12,1,2,YES,40-49,,,,,,,,
7,male,42,15,yes,3,20,5,4,YES,40-49,,,,,,,,
12,male,32,10,no,2,18,4,2,YES,30-39,,,,,,,,
12,female,32,15,yes,3,9,1,1,YES,30-39,,,,,,,,
7,male,57,15,yes,5,20,4,5,YES,50-59,,,,,,,,
12,male,47,15,yes,4,20,6,4,YES,40-49,,,,,,,,
2,female,42,15,yes,2,17,6,3,YES,40-49,,,,,,,,
12,male,37,15,yes,3,17,6,3,YES,30-39,,,,,,,,
12,male,37,15,yes,5,17,5,2,YES,30-39,,,,,,,,
7,male,27,10,yes,2,20,6,4,YES,20 - 29,,,,,,,,
2,male,37,15,yes,2,16,5,4,YES,30-39,,,,,,,,
12,female,32,15,yes,1,14,5,2,YES,30-39,,,,,,,,
7,male,32,10,yes,3,17,6,3,YES,30-39,,,,,,,,
2,male,37,15,yes,4,18,5,1,YES,30-39,,,,,,,,
7,female,27,1.5,no,2,17,5,5,YES,20 - 29,,,,,,,,
3,female,47,15,yes,2,17,5,2,YES,40-49,,,,,,,,
12,male,37,15,yes,2,17,5,4,YES,30-39,,,,,,,,
12,female,27,4,no,2,14,5,5,YES,20 - 29,,,,,,,,
2,female,27,10,yes,4,14,1,5,YES,20 - 29,,,,,,,,
1,female,22,4,yes,3,16,1,3,YES,20 - 29,,,,,,,,
12,male,52,7,no,4,16,5,5,YES,50-59,,,,,,,,
2,female,27,4,yes,1,16,3,5,YES,20 - 29,,,,,,,,
7,female,37,15,yes,2,17,6,4,YES,30-39,,,,,,,,
2,female,27,4,no,1,17,3,1,YES,20 - 29,,,,,,,,
12,female,17.5,0.75,yes,2,12,3,5,YES,10 - 19,,,,,,,,
7,female,32,15,yes,5,18,5,4,YES,30-39,,,,,,,,
7,female,22,4,no,1,16,3,5,YES,20 - 29,,,,,,,,
2,male,32,4,yes,4,18,6,4,YES,30-39,,,,,,,,
1,female,22,1.5,yes,3,18,5,2,YES,20 - 29,,,,,,,,
3,female,42,15,yes,2,17,5,4,YES,40-49,,,,,,,,
1,male,32,7,yes,4,16,4,4,YES,30-39,,,,,,,,
12,male,37,15,no,3,14,6,2,YES,30-39,,,,,,,,
1,male,42,15,yes,3,16,6,3,YES,40-49,,,,,,,,
1,male,27,4,yes,1,18,5,4,YES,20 - 29,,,,,,,,
2,male,37,15,yes,4,20,7,3,YES,30-39,,,,,,,,
7,male,37,15,yes,3,20,6,4,YES,30-39,,,,,,,,
3,male,22,1.5,no,2,12,3,3,YES,20 - 29,,,,,,,,
3,male,32,4,yes,3,20,6,2,YES,30-39,,,,,,,,
2,male,32,15,yes,5,20,6,5,YES,30-39,,,,,,,,
12,female,52,15,yes,1,18,5,5,YES,50-59,,,,,,,,
12,male,47,15,no,1,18,6,5,YES,40-49,,,,,,,,
3,female,32,15,yes,4,16,4,4,YES,30-39,,,,,,,,
7,female,32,15,yes,3,14,3,2,YES,30-39,,,,,,,,
7,female,27,7,yes,4,16,1,2,YES,20 - 29,,,,,,,,
12,male,42,15,yes,3,18,6,2,YES,40-49,,,,,,,,
7,female,42,15,yes,2,14,3,2,YES,40-49,,,,,,,,
12,male,27,7,yes,2,17,5,4,YES,20 - 29,,,,,,,,
3,male,32,10,yes,4,14,4,3,YES,30-39,,,,,,,,
7,male,47,15,yes,3,16,4,2,YES,40-49,,,,,,,,
1,male,22,1.5,yes,1,12,2,5,YES,20 - 29,,,,,,,,
7,female,32,10,yes,2,18,5,4,YES,30-39,,,,,,,,
2,male,32,10,yes,2,17,6,5,YES,30-39,,,,,,,,
2,male,22,7,yes,3,18,6,2,YES,20 - 29,,,,,,,,
1,female,32,15,yes,3,14,1,5,YES,30-39,,,,,,,,
